"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"COYR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","COYOTE RESOURCES INC","USA","Coyote Resources, Inc."
"CPAI","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","CHAMPION PAIN CARE CORP","USA","Champion Pain Care Corporation"
"CPAMF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CAPITALAND MALL TRUST UTS","Singapore","Capitaland Mall Trust"
"CPBLF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ALS LTD ORD","Australia","ALS Ltd."
"CPBP","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CAPAC  BANCORP INC (MI)","USA","Capac Bancorp Inc."
"CPCAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CATHAY PAC AIRWYS LTD ORD","China","Cathay Pacific Airways, Ltd."
"CPCAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CATHAY PAC AIRWAYS S/ADR","China","Cathay Pacific Airways, Ltd."
"CPCC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","INSIGHT MANAGEMENT CORP","USA","Insight Management Corp."
"CPDU","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHINA PEDIATRIC PHARMS","China","China Pediatric Pharmaceuticals, Inc."
"CPEU","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHAPEAU INC","USA","Chapeau, Inc."
"CPFH","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CAPITAL FINANCIAL HLD INC","USA","Capital Financial Holdings, Inc."
"CPFXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","COPPER FOX METALS INC","Canada","Copper Fox Metals Inc."
"CPGLF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CPL RESOURCES PLC","Ireland","CPL Resources Plc."
"CPHB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHINA PHARMAHUB CORP","USA","China PharmaHub Corp"
"CPICQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CPI CORP","USA","CPI Corp."
"CPIHF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CHAMPION TECH HLDGS ORD","China","Champion Technology Holdings Ltd."
"CPJT","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","CAMBRIDGE PROJECTS, INC.","USA","Cambridge Projects, Inc."
"CPKA","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CHASE PACKAGING CORP TEX","USA","Chase Packaging Corp."
"CPKB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CHESAPEAKE BANCORP","USA","Chesapeake Bancorp"
"CPKF","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CHESAPEAKE FINCL SHS INC","USA","Chesapeake Financial Shares, Inc."
"CPKPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CP POKPHAND CO LTD ORD","China","C.P. Pokphand Co. Ltd."
"CPKPY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CP POKPHAND CO LTD S/ADR","China","C.P. Pokphand Co. Ltd."
"CPMCF","OTC Link","27/10/2015","OTC Pink No Information","Y","Ordinary Shares","","COASTAL PACIFIC MINING CP","Canada","Coastal Pacific Mining Corp."
"CPMD","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CANNAPHARMARX INC","USA","Cannapharmarx Inc."
"CPMMF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","CRYSTAL PEAK MINERALS INC","USA","Crystal Peak Minerals Inc"
"CPNFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CARPATHIAN GOLD INC ORD","Canada","Carpathian Gold Inc."
"CPOKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHAROEN POKPHAND FOOD ADR","Thailand","Charoen Pokphand Foods plc"
"CPOW","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CLEAN POWER CONCEPTS INC","Canada","Clean Power Concepts, Inc."
"CPPCY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CP ALL PUB CO UNSP/ADR","Thailand","CP All Public Co Ltd"
