"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"AAALY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AAREAL BANK AG UNSP/ADR","Germany","Aareal Bank AG"
"AABB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","A","ASIA BROADBAND INC","USA","Asia Broadband, Inc."
"AABVF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABERDEEN INTL INC","Canada","Aberdeen International Inc."
"AACAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AAC TECHS HLDGS INC ORD","China","AAC Technologies Holdings Inc"
"AACAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AAC TECHS HLDGS UNSP/ADR","China","AAC Technologies Holdings Inc"
"AACEY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ASIA CMNT HLDGS UNSP/ADR","Taiwan","Asia Cement (China) Holdings Corp"
"AACS","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER COMMERCE SOLTNS INC","USA","American Commerce Solutions, Inc."
"AACTF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AURORA SOLAR TECHNOLOGIES","Canada","Aurora Solar Technologies Inc."
"AAEH","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALL AMER ENGY HLDG INC","USA","All American Energy Holding, Inc."
"AAGC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALL AMERICAN GOLD CORP","USA","All American Gold Corp."
"AAGIY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AIA GROUP LTD S/ADR","Hong Kong","AIA Group, Ltd."
"AAGRY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ASTRA AGRO LESTR UNSP/ADR","Indonesia","Astra Agro Lestari TBK"
"AAIGF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AIA GROUP LTD ORD","Hong Kong","AIA Group, Ltd."
"AAIIQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALABAMA AIRCRAFT INDUS","USA","Alabama Aircraft Industries, Inc."
"AAIR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AVANTAIR INC","USA","Avantair, Inc."
"AAMAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ATLAS MARA CO NVEST ORD","British Virgin Islands","Atlas Mara Co Nvest Ltd."
"AAMTF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ARMADA MERCANTILE LTD","USA","Armada Mercantile Ltd."
"AAPH","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMER PETRO-HUNTER INC","USA","American Petro-Hunter, Inc."
"AAPJ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AAP INC","Japan","AAP, Inc."
"AAPT","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ALL AMERICAN PET CO INC","USA","All American Pet Company, Inc."
"AASL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMERICA'S SUPPLIERS INC","USA","America's Suppliers, Inc."
"AASP","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALL-AMER SPORTPARK INC","USA","All-American SportPark, Inc."
"AAST","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALLIED AMERICAN STEEL CRP","USA","Allied American Steel Corp."
"AATV","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADAPTIVE AD SYSTEMS INC","USA","Adaptive Ad Systems, Inc."
"AAUKF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ANGLO AMER PLC ORD.","United Kingdom","Anglo American plc"
"AAUKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ANGLO AMER PLC ADS","United Kingdom","Anglo American plc"
"AAWC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALEXANDRIA ADVANTGE WRNTY","USA","Alexandria Advantage Warranty Company"
"AAXT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AAMAXAN TRANSPORT GRP INC","Canada","Aamaxan Transport Group, Inc."
"ABAT","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","ADVANCED BATTERY TECHS","USA","Advanced Battery Technologies, Inc."
"ABBAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASIAN INCOME FUN","United Kingdom","Aberdeen Asian Income Fund"
"ABBB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AUBURN BANCORP INC","USA","Auburn Bancorp, Inc."
"ABBY","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ABBY INC","USA","Abby, Inc."
"ABCAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ATHABASCA MINERALS INC","Canada","Athabasca Minerals Inc."
"ABCE","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ABCO ENERGY INC","USA","ABCO Energy, Inc."
"ABCFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABACUS MINING & EXPL CORP","Canada","Abacus Mining & Exploration Corp."
"ABCP","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMBASE CORP","USA","AmBase Corp."
"ABCR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ABC RECORDS MGMT & DATA","China","ABC Records Management and Data Storage Inc"
"ABCZF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABCAM PLC ORD","United Kingdom","Abcam PLC"
"ABCZY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABCAM PLC ADR","United Kingdom","Abcam PLC"
"ABDNF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABERDEEN ASSET MGMT PLC","United Kingdom","Aberdeen Asset Management PLC"
"ABDNY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABERDEEN ASSET MGMT ADR","United Kingdom","Aberdeen Asset Management PLC"
"ABDR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMBASSADOR FOOD SVCS CORP","USA","Ambassador Food Services Corp."
"ABEC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ANALYTICA BIO-ENERGY CORP","Canada","Analytica Bio-Energy Corp."
"ABGOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABENGOA SA ORD","Spain","Abengoa S.A."
"ABGOY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABENGOA SA UNSP/ADR","Spain","Abengoa S.A."
"ABGPF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","ALABAMA GRAPHITE CORP","Canada","Alabama Graphite Corp."
"ABHD","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ABTECH HOLDINGS INC","USA","Abtech Holdings, Inc."
"ABHI","OTC Link","27/10/2015","OTCQB","N","Common Stock","","AMBICOM HOLDINGS INC","USA","AmbiCom Holdings, Inc."
"ABKB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMER BASKETBALL ASSN INC","USA","American Basketball Association, Inc."
"ABKH","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER BANK HLDGS INC (DE)","USA","American Bank Holdings, Inc."
"ABKI","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ABAKAN INC","USA","Abakan, Inc."
"ABLT","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","AMERICAN BILTRITE INC","USA","American Biltrite, Inc."
"ABLZF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABB LTD ZUERICH","Switzerland","ABB Ltd."
"ABMBF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","B","ABCOURT MINES INC B","Canada","Abcourt Mines Inc."
"ABMC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER BIO MEDICA CORP","USA","American Bio Medica Corp."
"ABMT","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ADVANCED BIOMEDICAL TECHS","USA","Advanced BioMedical Technologies, Inc."
"ABNAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABEN RES LTD ORD","Canada","Aben Resources, Ltd."
"ABNC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER BANCORP INC LA","USA","American Bancorp, Inc."
"ABNK","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALTAPACIFIC BANCORP","USA","AltaPacific Bancorp"
"ABOT","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ABT HOLDINGS INC","USA","ABT Holdings, Inc."
"ABPA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALLEGIANCE BK OF N/A (PA)","USA","Allegiance Bank of North America (Bala Cynwyd, PA)"
"ABPR","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AIRBORNE SEC & PROT SVCS","USA","Airborne Security & Protective Services, Inc."
"ABQQ","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","AB INTL GROUP CORP","Kyrgyzstan","AB INTL Group Corp."
"ABRTY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABERTIS INFRSTRC UNSP/ADR","Spain","Abertis Infraestructuras SA"
"ABRW","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","AMERICAN BREWING CO INC","USA","American Brewing Co., Inc."
"ABSCF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AB SCIENCE PARIS ORD","France","AB Science, Paris"
"ABSR","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","AMERICAN BUSINESS SVCS","USA","American Business Services Inc."
"ABTO","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AB&T FINCL CORP (NC)","USA","AB&T Financial Corp. (NC)"
"ABTZY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABOITIZ EQTY VNT UNSP/ADR","Philippines","Aboitiz Equity Ventures, Inc."
"ABVN","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ABV CONSULTING INC","USA","ABV Consulting Inc."
"ABYB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMBOY BANCORPORATION","USA","Amboy Bancorporation"
"ABZPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABOITIZ POWER CORP","Philippines","Aboitiz Power Corp."
"ABZPY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ABOITIZ POWER UNSP/ADR","Philippines","Aboitiz Power Corp."
"ABZUF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ABZU GOLD LTD ORD NEW","Canada","Abzu Gold, Ltd."
"ACAL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMERICA CALIFORNIA BK CA","USA","America California Bank (San Francisco, CA)"
"ACAN","OTC Link","27/10/2015","OTCQX U.S.","N","Common Stock","","AMERICANN INC","USA","Americann Inc."
"ACAR","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ACTIVECARE INC","USA","Activecare Inc."
"ACBC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALBINA COMMUNITY BNCRP","USA","Albina Community Bancorp"
"ACBFF","OTC Link","27/10/2015","OTCQB","N","Ordinary Shares","","AURORA CANNABIS INC ORD","Canada","Aurora Cannabis Inc."
"ACCA","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ACACIA DIVERSIFIED HLDGS","USA","Acacia Diversified Holdings, Inc."
"ACCS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AFRICAN COPPER CORP","South Africa","African Copper Corp."
"ACCYY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ACCOR SA SPNS/ADR","France","Accor SA Ltd."
"ACDP","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMER COMMUNITY DEV INC","USA","American Community Development, Inc."
"ACDSF","OTC Link","27/10/2015","OTC Pink Current","N","Fund","","ASCENDAS RL EST INVT TR","Singapore","Ascendas Real Estate Investment Trust"
"ACDVF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AIR CANADA INC VTG & VAR","Canada","Air Canada, Inc."
"ACERF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AM GOLD INC ORD NEW","Canada","AM Gold Inc."
"ACEZ","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ARIEL CLEAN ENERGY INC","USA","Ariel Clean Energy, Inc."
"ACFL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMC FINANCIAL HLDGS INC","USA","AMC Financial Holdings, Inc."
"ACFN","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ACORN ENERGY INC","USA","Acorn Energy, Inc."
"ACGBF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AGRICULTURAL BANK OF CHIN","China","Agricultural Bank of China"
"ACGBY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AGRICULTURAL B/C UNSP/ADR","China","Agricultural Bank of China"
"ACGFY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ACCORDIA GOLF CO LTD ADR","Japan","Accordia Golf Co., Ltd."
"ACGI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMACORE GROUP INC A","USA","Amacore Group, Inc. (The)"
"ACGPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ACCELL GROUP NV ORD","The Netherlands","Accell Group NV"
"ACGX","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALLIANCE CREATIVE GRP INC","USA","Alliance Creative Group, Inc."
"ACHI","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ACCRETIVE HEALTH INC","USA","Accretive Health, Inc."
"ACKAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ARCELIK A S UNSP/ADR","Turkey","Arcelik  A.S."
"ACKDF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AUCKLAND INTL LTD ORD","New Zealand","Auckland International Airport Ltd."
"ACKRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AMERICAN CREEK RES LTD","Canada","American Creek Resources, Ltd."
"ACLD","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ACQUIRE LTD","","Acquire Ltd."
"ACLP","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ACCELPATH INC","USA","AccelPath, Inc."
"ACLZ","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","ACCELERIZE INC","USA","Accelerize Inc."
"ACMA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ACM CORPORATION","USA","ACM Corporation"
"ACMC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER CHURCH MTGE CO","USA","American Church Mortgage Co."
"ACMDY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ATLAS CONS MNG&DEV AT ADR","Philippines","Atlas Consolidated Mining & Development Corp."
"ACME","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ACME COMMUNS INC","USA","ACME Communications, Inc."
"ACMT","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ACMAT CORP","USA","ACMAT Corp."
"ACMTA","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","A","ACMAT CORP A","USA","ACMAT Corp."
"ACMUY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ACOM CO LTD S/ADR","Japan","Acom Co. Ltd."
"ACNDF","OTC Link","27/10/2015","OTC Pink Current","N","Fund","","ASCENDAS INDIA TRUST UNIT","Singapore","Ascendas India Trust"
"ACNE","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALICE CONSOL MINES INC","USA","Alice Consolidated Mines, Inc."
"ACNI","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","AMER CMNTY NEWSPAPRS INC","USA","American Community Newspapers, Inc."
"ACNV","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ACCELERA INNOVATIONS INC","USA","Accelera Innovations, Inc."
"ACOL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ACOLOGY INC","USA","Acology Inc."
"ACOPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","A2 MILK CO LTD","New Zealand","A2 Milk Co Ltd."
"ACPGF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ATACAMA PACIFIC GOLD CORP","Canada","Atacama Pacific Gold Corp."
"ACRB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ASIA CARBON INDUSTRIES","China","Asia Carbon Industries, Inc."
"ACRFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ACCOR SA","France","Accor SA Ltd."
"ACRT","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADVANCED CREDIT TECHS INC","USA","Advanced Credit Technologies Inc"
"ACSAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ACS ACTIVIDADES DE CONSTR","Spain","ACS Actividades De Construccion Y Servicios SA"
"ACSAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ACS ACTIVIDADS CNS UN/ADR","Spain","ACS Actividades De Construccion Y Servicios SA"
"ACSEF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","ACS MOTION CONTROL LTD","Israel","ACS Motion Control, Ltd."
"ACSX","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","A C SIMMONDS & SONS INC","Canada","A.C. Simmonds and Sons Inc."
"ACTL","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","ARTEC GLOBAL MEDIA INC","USA","Artec Global Media, Inc."
"ACUG","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","A & C UNITED AGRICULTURE","USA","A & C United Agriculture Developing Inc"
"ACUS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ACUSPHERE INC NEW","USA","Acusphere, Inc."
"ACXA","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","ACCUREXA INC","USA","Accurexa Inc."
"ACXIF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ACCIONA SA","Spain","Acciona S.A."
"ADAC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADAMA TECHS CORP","USA","Adama Technologies Corp."
"ADBCF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ADELAIDE BRIGHTON LTD","Australia","Adelaide Brighton Ltd."
"ADCC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","SAVENERGY HOLDINGS INC","USA","Savenergy Holdings, Inc."
"ADCF","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADVANCED DEFENSE TECHS","USA","Advanced Defense Technologies, Inc."
"ADDC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADDMASTER CORP","USA","Addmaster Corp."
"ADDDF","OTC Link","27/10/2015","OTCQX International Premier","N","Ordinary Shares","","ADIDAS AG ORD","Germany","adidas AG"
"ADDYY","OTC Link","27/10/2015","OTCQX International Premier","N","American Depository Receipts","","ADIDAS AG S/ADR","Germany","adidas AG"
"ADENF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ADIRA ENRGY LTD NEW","Canada","Adira Energy, Ltd."
"ADERY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AIDA ENGINEERING LTD ADR","Japan","Aida Engineering Co., Ltd."
"ADES","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ADVANCED EMISSIONS SOLU","USA","Advanced Emissions Solutions, Inc."
"ADEXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ADVANCED EXPLORATIONS INC","Canada","Advanced Explorations Inc."
"ADFI","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ASIAN DEV FRONTIER INC","Hong Kong","Asian Development Frontier Inc."
"ADFS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMERICAN DEFENSE SYS INC","USA","American Defense Systems, Inc."
"ADFT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADFITECH INC","USA","Adfitech, Inc."
"ADGL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ALLDIGITAL HOLDINGS INC","USA","AllDigital Holdings, Inc."
"ADGS","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","ADGS ADVISORY INC","China","ADGS Advisory, Inc."
"ADHC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMER DIVRSFD HLDGS CORP","USA","American Diversified Holdings Corp."
"ADHH","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","ADAIAH DISTR INC","Latvia","Adaiah Distribution Inc."
"ADIA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADIA NUTRITION INC","USA","Adia Nutrition, Inc."
"ADKT","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADIRONDACK TRUST SARA SPS","USA","Adirondack Trust Co. (Saratoga Springs, NY)"
"ADLDY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ADELAIDE BRIGHTON UNS/ADR","Australia","Adelaide Brighton Ltd."
"ADLI","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","AMER MEDICAL TECHS INC","USA","American Medical Technologies, Inc."
"ADLS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADVANCED LIFE SCI HOLD","USA","Advanced Life Sciences Holdings, Inc."
"ADMD","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ADVANCED MED ISOTOPE CORP","USA","Advanced Medical Isotope Corp."
"ADMG","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ADAMANT DRI PRCNG &MNRLS","China","Adamant DRI Processing and Minerals Group"
"ADMT","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ADM TRONICS UNLTD INC","USA","ADM Tronics Unlimited, Inc."
"ADMV","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","ADAMAS VENTURES INC","China","Adamas Ventures Inc."
"ADNY","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADINO ENERGY CORP","USA","Adino Energy Corp."
"ADOCY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ADOCIA S/ADR","France","Adocia ACT"
"ADOOY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ADARO ENERGY PT UNSP/ADR","Indonesia","Adaro Energy PT"
"ADPXY","OTC Link","27/10/2015","OTCQX International","N","American Depository Receipts","","AUDIO PIXELS HLDGS S/ADR","Australia","Audio Pixels Holdings Ltd"
"ADRZY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ANDRITZ AG UNSP/ADR","Austria","Andritz AG"
"ADSV","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALLIED SEC INNOVATINS NEW","USA","Allied Security Innovations, Inc."
"ADTC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADVANCED DEPOSITION TECHS","USA","Advanced Deposition Technologies, Inc."
"ADTM","OTC Link","27/10/2015","OTCQB","N","Common Stock","","ADAPTIVE MEDIAS INC","USA","Adaptive Medias, Inc."
"ADTR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ALLIANCE MEDIA HLDGS INC","USA","Alliance Media Holdings Inc."
"ADTY","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADTEGRITY.COM INTL  INC","USA","Adtegrity.com International, Inc."
"ADVC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADVANT-E CORP","USA","Advant-e Corp."
"ADVOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ADVA OPTICAL NETWORKING","Germany","ADVA AG Optical Networking"
"ADXRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ADX ENERGY LTD","Australia","ADX Energy Ltd."
"ADYNF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ALGAE DYNAMICS CORP","Canada","Algae Dynamics Corp."
"AEBZY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ANADOLU EFES BIRCLK S/ADR","Turkey","Anadolu Efes Biracilik Ve Malt AS"
"AEDC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMERICAN ENERGY DEV CORP","USA","American Energy Development Corp."
"AEEI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AMERICAN ENVIRNMNTL ENGY","USA","American Environmental Energy, Inc."
"AEEX","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","ASIA EQUITY EXCHANGE GRP","China","Asia Equity Exchange Group, Inc."
"AEGG","OTC Link","27/10/2015","OTCQB","N","Common Stock","","AMER ENERGY GROUP LTD","USA","American Energy Group, Ltd. (THE)"
"AEGOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AEGON N.V. ORD","The Netherlands","Aegon N.V."
"AEGXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","AECON GROUP INC","Canada","Aecon Group Inc."
"AELEF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ALPINE ELECTRONICS INC","Japan","Alpine Electronics Inc."
"AEMC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ARCHER ENTMT MDA CMNS","Singapore","Archer Entertainment Media Communications, Inc."
"AEMMY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","A2A SPA UNSP/ADR","Italy","A2A SpA"
"AENG","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ADVANCED ENGINE TECHS INC","USA","Advanced Engine Technologies, Inc."
"AEORF","OTC Link","27/10/2015","OTC Pink Current","N","Other Security Type","","ALEO SOLAR AG NAMEN AKT","Germany","Aleo Solar Ag"
"AERG","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","APPLIED ENERGETICS INC","USA","Applied Energetics, Inc."
"AERGP","OTC Link","27/10/2015","OTC Pink Current","N","Preferred Stock","","APPLIED ENERGETIC PFD A","USA","Applied Energetics, Inc."
"AERO","OTC Link","27/10/2015","OTCQB","N","Common Stock","","AEROGROW INTL INC","USA","Aero Grow International, Inc."
"AERS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","AERIUS","USA","Aerius"
"AERT","OTC Link","27/10/2015","OTCQB","N","Common Stock","A","ADVANCED ENVRNMT RCYC A","USA","Advanced Environmental Recycling Technologies, Inc."
"AERZY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","PJSC AEROFLOT RUSS S/ADR","Russia","PJSC Aeroflot Russian Airlines"
"AESAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AES TIETE SA S/ADR","Brazil","AES Tiete SA"
"AESYY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","AES TIETE SA PFD S/ADR","Brazil","AES Tiete SA"
"AETUF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ARC RESOURCES LTD ORD","Canada","Arc Resources Ltd."
"AEXAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ATOS ORIGIN SA ORD","France","Atos Origin SA"
"AEXAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","ATOS ORIGIN SA UNSP/ADR","France","Atos Origin SA"
"AEXE","OTC Link","27/10/2015","OTCQB","N","Common Stock","","AIM EXPLORATION INC","USA","Aim Exploration Inc."
